OBJECTID,globalid,stopID,onSt,atSt,stopName,STP_P,BNCH,SHLT,TRF,_ADA,PUB_WAY,JURIS,AssessStatus,StNameChg,StNameChg2,Lighting,ADAPad,ROW_ADA,Sidewalk,Avg_Brd,Avg_Alght,Meter1,InstallPoleYN,TStopHoles,installInfo,routes,TNPExistingPoles,TParkPoles,TParkHoles,tParkPolesInstalled,tParkSigns,tParkSignsInstalled,Tholes,assignedPos,assignedInstSurf,installSurface,installPos,distToIntersection,estimated_irregular_distance_to,installBusStopPole,NPSurface,parkSignRear,parkSignNSFront,parkSignMBFront,parkSignFarside,installToSpec,install_comments,approved,approvalComments,delayInstall,CreationDate,Creator,EditDate,Editor,delayReason,delayResolved,delayComment,delayComments,initComments,curbCuts,ImprovPrior1,ImprovPrior2,BnchShelt,_Cost,AdoptA1,AdoptA2,ParkSign1,ParkSign2,STATE,COUNTY,POINT_X,POINT_Y,new_county,new_juris
"502",{6DA3FFED-BC73-4A62-9097-CE3740E7838C},"16104",OLIVE BLVD,WOODLAND POINT DR,OLIVE @ WOODLAND POINT WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,No Sholder Poor Condition,"4","0.791665","5.79832",None,no,"1",No,"3091","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:49.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,Taco Bell,"4",Low,,No,,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.486097,38.6825250000001,ST. LOUIS COUNTY,Chesterfield city
"503",{78F9FD11-9299-446C-AB67-2B4BDE1CC948},"16111",REDMAN RD,STONYMONT DR,REDMAN @ STONYMONT WB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,No,Yes,Yes SW compliant,"0","3.650604","1.41994",None,no,"1",No,"3071","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:50.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"3",Low,,No,"$2,5000-$4,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.246882,38.781979,ST. LOUIS COUNTY,Black Jack city
"504",{2FB6FE4D-5D40-49BA-8DA8-1C0273280B7A},"16112",REDMAN RD,STONYMONT DR,REDMAN @ STONYMONT EB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,No,No pad,Yes SW compliant,"0","0.924168","2.002424",None,no,"1",No,"3071","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:52:50.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"3",Low,,No,"$2,5000-$4,999",No,No,None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.246338,38.782028,ST. LOUIS COUNTY,Black Jack city
"505",{537AA95E-91BA-4639-937E-1389271DDAFC},"16113",GRAHAM RD,DUNN RD,GRAHAM @ DUNN SB,NS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,Yes SW compliant,"0","50.45625","7.790847",None,no,"0",No,"3076","1","0","0",,"0",,"0",NS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:50.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,Starbucks,"4",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.33507,38.777676,ST. LOUIS COUNTY,Florissant city
"506",{03D866A0-6362-420D-B2E9-9E528140AD00},"16114",REDMAN RD,NORTHWAY DR,REDMAN @ NORTHWAY WB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes SW compliant,"0","2.997305","1.196222",None,no,"1",No,"3071","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:50.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"1",Low,,No,"$1,000-$2,499",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.243008,38.7830210000001,ST. LOUIS COUNTY,Bellefontaine Neighbors city
"507",{9341DFFE-48A2-4C4E-AD3D-8F5E35F9352C},"16115",REDMAN AVE,NORTHWAY DR,REDMAN @ NORTHWAY EB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,No,No pad,Yes SW compliant,"0","0.552963","2.420638",None,no,"1",No,"3071","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:51.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"3",Low,,No,$0-$999,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.242448,38.783086,ST. LOUIS COUNTY,Bellefontaine Neighbors city
"508",{BA23B208-6D53-431A-9E82-0855769CA34A},"16116",DUNN RD,BENHAM RD,DUNN @ BENHAM SB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","0.633859","1.145507",None,no,"1",No,"3075","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:51.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"0",None,,No,,No,No,FS Stop Pole,None Location,MO,ST LOUIS COUNTY,-90.237849,38.7794000000001,ST. LOUIS COUNTY,Bellefontaine Neighbors city
"509",{04FBD7A5-9256-44E0-AD13-248B51319038},"16117",BELLEFONTAINE RD,OAK PKWY DR,BELLEFONTAINE @ OAK PARKWAY NB,NS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,No,No pad,Yes SW compliant,"0","9.990242","7.842168",None,no,"1",No,"3078","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:51.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"4",Low,,No,"$5,000-$9,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.219723,38.7746460000001,ST. LOUIS COUNTY,Bellefontaine Neighbors city
"510",{7D5703B4-1E7C-4854-BA49-95E886178827},"16118",N LINDBERGH BLVD,2920 N LINDBERGH BLVD,2920 NORTH LINDBERGH NB,MB,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,,No pad,,"0","0.142856","1.099546",None,no,"0",No,"3049","0","0","0",,"0",,"0",MB,,unknown,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:52.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,MoDot Project coming in 2020,"0",,,No,,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.408084,38.7151020000001,ST. LOUIS COUNTY,Maryland Heights city
"511",{519A69EE-AF35-4E44-9AD8-71EFB494AFA9},"16131",GUELBRETH LN,SCHUETZ RD,GUELBRETH @ SCHUETZ NB,NS,NO,NO,YES,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","14.3488","13.29951",None,no,"0",No,"3049","1","0","0",,"0",,"0",NS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:53.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"0",None,,No,,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.408088,38.6841440000001,ST. LOUIS COUNTY,Creve Coeur city
